Hence,hence,
night,night,,topic_23,0,freq1,0,ig5,0,sal1,0
;,;,n
I,i,s
will,will,s
not,not,s
do,do,s
thee,thee,s
so,so,s
much,much,s
wrong,wrong,s,topic_27,0,freq2,0,ig5,0,sal1,0
to,to,s
wake,wake,s,topic_10,0,freq2,0,ig1,0,sal1,0
thee,thee,
:,:,n
If,if,s
thou,thou,s
dost,dost,s,topic_40,0,freq2,0,ig5,0,sal4,0
nod,nod,,topic_39,0,freq4,0,ig5,0,sal4,0
",",",",s
thou,thou,s
break'st,break'st,s,topic_39,0,freq5,0,ig3,0,sal5,0
thy,thy,s
instrument,instrument,,topic_24,0,freq4,0,ig5,0,sal5,0
;,;,n
I'll,i'll,s
take,take,s
it,it,s
from,from,s
thee,thee,
;,;,s
and,and,
",",",",s
good,good,s,topic_2,0,freq1,0,ig5,0,sal1,0
boy,boy,
",",",",s
good,good,s,topic_37,0,freq1,0,ig5,0,sal3,0
night,night,,topic_23,0,freq1,0,ig5,0,sal1,0
.,.,n
Let,let,s
me,me,s
see,see,
",",",",s
let,let,s
me,me,s
see,see,
;,;,s
is,is,s
not,not,s
the,the,s
leaf,leaf,s,topic_25,0,freq5,0,ig5,0,sal5,0
turn'd,turn'd,s,topic_28,0,freq5,0,ig5,0,sal5,0
down,down,n
Where,where,s
I,i,s
left,left,s,topic_33,0,freq3,0,ig5,0,sal5,0
reading,reading,,topic_7,0,freq4,0,ig5,0,sal4,0
?,?,s
Here,here,s
it,it,s
is,is,
",",",",s
I,i,s
think,think,
.,.,n
How,how,s
ill,ill,s,topic_45,0,freq2,0,ig5,0,sal4,0
this,this,s
taper,taper,s,topic_23,0,freq5,0,ig5,0,sal4,0
burns,burns,,topic_35,0,freq4,0,ig5,0,sal5,0
!,!,s
Ha,ha,,topic_37,0,freq1,0,ig5,0,sal1,0
!,!,s
who,who,s
comes,comes,s
here,here,
?,?,n
I,i,s
think,think,s
it,it,s
is,is,s
the,the,s
weakness,weakness,s,topic_1,0,freq4,0,ig4,0,sal3,0
of,of,s
mine,mine,s,topic_34,0,freq2,0,ig5,0,sal4,0
eyes,eyes,n,topic_39,0,freq1,0,ig5,0,sal1,0
That,that,s
shapes,shapes,s,topic_30,0,freq2,0,ig4,0,sal2,0
this,this,s
monstrous,monstrous,s,topic_10,0,freq3,0,ig5,0,sal4,0
apparition,apparition,,topic_30,0,freq5,0,ig1,0,sal4,0
.,.,n
It,it,s
comes,comes,s
upon,upon,s
me,me,
.,.,s
Art,art,s,topic_34,0,freq3,0,ig5,0,sal4,0
thou,thou,s
any,any,s
thing,thing,,topic_2,0,freq2,0,ig5,0,sal2,0
?,?,n
Art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
thou,thou,s
some,some,s
god,god,,topic_18,0,freq1,0,ig5,0,sal2,0
",",",",s
some,some,s
angel,angel,,topic_39,0,freq3,0,ig5,0,sal3,0
",",",",s
or,or,s
some,some,s
devil,devil,,topic_16,0,freq1,0,ig5,0,sal1,0
",",",",n
That,that,s
makest,makest,s,topic_28,0,freq5,0,ig5,0,sal5,0
my,my,s
blood,blood,s,topic_33,0,freq1,0,ig5,0,sal4,0
cold,cold,s,topic_30,0,freq1,0,ig5,0,sal3,0
and,and,s
my,my,s
hair,hair,s,topic_28,0,freq3,0,ig5,0,sal4,0
to,to,s
stare,stare,,topic_4,0,freq4,0,ig5,0,sal4,0
?,?,n
Speak,speak,s,topic_27,0,freq1,0,ig5,0,sal1,0
to,to,s
me,me,s
what,what,s
thou,thou,s
art,art,,topic_34,0,freq3,0,ig5,0,sal4,0
.,.,n
Thy,thy,s
evil,evil,s,topic_27,0,freq3,0,ig5,0,sal2,0
spirit,spirit,,topic_33,0,freq4,0,ig5,0,sal5,0
",",",",s
Brutus,brutus,
.,.,n
Why,why,s
comest,comest,s,topic_28,0,freq4,0,ig5,0,sal5,0
thou,thou,
?,?,n
To,to,s
tell,tell,s
thee,thee,s
thou,thou,s
shalt,shalt,s,topic_28,0,freq2,0,ig5,0,sal2,0
see,see,s
me,me,s
at,at,s
Philippi,philippi,,topic_33,0,freq4,0,ig1,0,sal3,0
.,.,n
Well,well,
;,;,s
then,then,s
I,i,s
shall,shall,s
see,see,s
thee,thee,s
again,again,
?,?,n
Ay,ay,,topic_40,0,freq2,0,ig5,0,sal5,0
",",",",s
at,at,s
Philippi,philippi,,topic_33,0,freq4,0,ig1,0,sal3,0
.,.,n
Why,why,
",",",",s
I,i,s
will,will,s
see,see,s
thee,thee,s
at,at,s
Philippi,philippi,,topic_33,0,freq4,0,ig1,0,sal3,0
",",",",s
then,then,
.,.,n
Now,now,s
I,i,s
have,have,s
taken,taken,s
heart,heart,s,topic_34,0,freq1,0,ig5,0,sal1,0
thou,thou,s
vanishest,vanishest,,topic_1,0,freq5,0,ig5,0,sal5,0
:,:,n
Ill,ill,s,topic_38,0,freq2,0,ig5,0,sal2,0
spirit,spirit,,topic_38,0,freq2,0,ig5,0,sal4,0
",",",",s
I,i,s
would,would,s
hold,hold,s,topic_36,0,freq2,0,ig5,0,sal4,0
more,more,s
talk,talk,s,topic_23,0,freq3,0,ig5,0,sal4,0
with,with,s
thee,thee,
.,.,n
Boy,boy,
",",",",s
Lucius,lucius,
!,!,s
Varro,varro,
!,!,s
Claudius,claudius,
!,!,s
Sirs,sirs,,topic_21,0,freq3,0,ig5,0,sal3,0
",",",",s
awake,awake,,topic_10,0,freq1,0,ig4,0,sal1,0
!,!,s
Claudius,claudius,
!,!,n
The,the,s
strings,strings,,topic_39,0,freq4,0,ig5,0,sal4,0
",",",",s
my,my,s
lord,lord,
",",",",s
are,are,s
false,false,,topic_46,0,freq1,0,ig4,0,sal1,0
.,.,n
He,he,s
thinks,thinks,s,topic_41,0,freq3,0,ig5,0,sal3,0
he,he,s
still,still,s
is,is,s
at,at,s
his,his,s
instrument,instrument,,topic_1,0,freq3,0,ig5,0,sal3,0
.,.,n
Lucius,lucius,
",",",",s
awake,awake,,topic_10,0,freq1,0,ig4,0,sal1,0
!,!,n
My,my,s
lord,lord,
?,?,n
Didst,didst,s,topic_21,0,freq3,0,ig5,0,sal5,0
thou,thou,s
dream,dream,,topic_10,0,freq1,0,ig4,0,sal1,0
",",",",s
Lucius,lucius,
",",",",s
that,that,s
thou,thou,s
so,so,s
criedst,criedst,s,topic_34,0,freq5,0,ig5,0,sal5,0
out,out,
?,?,n
My,my,s
lord,lord,
",",",",s
I,i,s
do,do,s
not,not,s
know,know,s
that,that,s
I,i,s
did,did,s
cry,cry,,topic_10,0,freq1,0,ig5,0,sal3,0
.,.,n
Yes,yes,
",",",",s
that,that,s
thou,thou,s
didst,didst,,topic_28,0,freq2,0,ig5,0,sal3,0
:,:,s
didst,didst,s,topic_28,0,freq2,0,ig5,0,sal3,0
thou,thou,s
see,see,s
any,any,s
thing,thing,,topic_18,0,freq2,0,ig5,0,sal4,0
?,?,n
Nothing,nothing,
",",",",s
my,my,s
lord,lord,
.,.,n
Sleep,sleep,s,topic_10,0,freq1,0,ig5,0,sal1,0
again,again,
",",",",s
Lucius,lucius,
.,.,s
Sirrah,sirrah,s,topic_40,0,freq2,0,ig5,0,sal3,0
Claudius,claudius,
!,!,n
Fellow,fellow,s,topic_40,0,freq1,0,ig5,0,sal3,0
thou,thou,
",",",",s
awake,awake,,topic_10,0,freq1,0,ig4,0,sal1,0
!,!,n
My,my,s
lord,lord,
?,?,n
My,my,s
lord,lord,
?,?,n
Why,why,s
did,did,s
you,you,s
so,so,s
cry,cry,s,topic_10,0,freq1,0,ig5,0,sal3,0
out,out,
",",",",s
sirs,sirs,,topic_40,0,freq4,0,ig5,0,sal5,0
",",",",s
in,in,s
your,your,s
sleep,sleep,,topic_10,0,freq1,0,ig5,0,sal1,0
?,?,n
Did,did,s
we,we,
",",",",s
my,my,s
lord,lord,
?,?,n
Ay,ay,,topic_1,0,freq1,0,ig5,0,sal1,0
:,:,s
saw,saw,s
you,you,s
any,any,s
thing,thing,,topic_18,0,freq2,0,ig5,0,sal4,0
?,?,n
No,no,
",",",",s
my,my,s
lord,lord,
",",",",s
I,i,s
saw,saw,s
nothing,nothing,
.,.,n
Nor,nor,s
I,i,
",",",",s
my,my,s
lord,lord,
.,.,n
Go,go,s
and,and,s
commend,commend,s,topic_23,0,freq4,0,ig5,0,sal4,0
me,me,s
to,to,s
my,my,s
brother,brother,s
Cassius,cassius,
;,;,n
Bid,bid,s,topic_48,0,freq2,0,ig5,0,sal3,0
him,him,s
set,set,s,topic_33,0,freq2,0,ig5,0,sal5,0
on,on,s
his,his,s
powers,powers,s,topic_47,0,freq2,0,ig5,0,sal2,0
betimes,betimes,s,topic_26,0,freq4,0,ig4,0,sal3,0
before,before,
",",",",n
And,and,s
we,we,s
will,will,s
follow,follow,,topic_33,0,freq3,0,ig5,0,sal5,0
.,.,n
It,it,s
shall,shall,s
be,be,s
done,done,
",",",",s
my,my,s
lord,lord,
.,.,n
Now,now,
",",",",s
Antony,antony,
",",",",s
our,our,s
hopes,hopes,s,topic_26,0,freq3,0,ig5,0,sal4,0
are,are,s
answered,answered,,topic_34,0,freq4,0,ig5,0,sal2,0
:,:,n
You,you,s
said,said,s
the,the,s
enemy,enemy,s,topic_33,0,freq3,0,ig5,0,sal4,0
would,would,s
not,not,s
come,come,s
down,down,
",",",",n
But,but,s
keep,keep,s
the,the,s
hills,hills,s,topic_34,0,freq4,0,ig5,0,sal3,0
and,and,s
upper,upper,s,topic_10,0,freq5,0,ig5,0,sal5,0
regions,regions,,topic_10,0,freq4,0,ig4,0,sal4,0
;,;,n
It,it,s
proves,proves,s,topic_6,0,freq3,0,ig1,0,sal2,0
not,not,s
so,so,
:,:,s
their,their,s
battles,battles,s,topic_33,0,freq4,0,ig4,0,sal3,0
are,are,s
at,at,s
hand,hand,,topic_34,0,freq1,0,ig5,0,sal3,0
;,;,n
They,they,s
mean,mean,s
to,to,s
warn,warn,s,topic_21,0,freq5,0,ig5,0,sal5,0
us,us,s
at,at,s
Philippi,philippi,s,topic_33,0,freq4,0,ig1,0,sal3,0
here,here,
",",",",n
Answering,answering,s,topic_10,0,freq5,0,ig5,0,sal5,0
before,before,s
we,we,s
do,do,s
demand,demand,s,topic_45,0,freq3,0,ig5,0,sal3,0
of,of,s
them,them,
.,.,n
Tut,tut,,topic_30,0,freq5,0,ig5,0,sal5,0
",",",",s
I,i,s
am,am,s
in,in,s
their,their,s
bosoms,bosoms,,topic_33,0,freq4,0,ig5,0,sal4,0
",",",",s
and,and,s
I,i,s
know,know,n
Wherefore,wherefore,s,topic_28,0,freq4,0,ig5,0,sal5,0
they,they,s
do,do,s
it,it,
:,:,s
they,they,s
could,could,s
be,be,s
content,content,n,topic_27,0,freq2,0,ig5,0,sal3,0
To,to,s
visit,visit,s,topic_23,0,freq4,0,ig5,0,sal3,0
other,other,s
places,places,,topic_48,0,freq4,0,ig5,0,sal4,0
;,;,s
and,and,s
come,come,s
down,down,n
With,with,s
fearful,fearful,s,topic_47,0,freq3,0,ig5,0,sal3,0
bravery,bravery,,topic_34,0,freq5,0,ig1,0,sal3,0
",",",",s
thinking,thinking,s,topic_26,0,freq3,0,ig5,0,sal3,0
by,by,s
this,this,s
face,face,n,topic_36,0,freq3,0,ig5,0,sal5,0
To,to,s
fasten,fasten,s,topic_27,0,freq5,0,ig1,0,sal4,0
in,in,s
our,our,s
thoughts,thoughts,s,topic_35,0,freq2,0,ig5,0,sal3,0
that,that,s
they,they,s
have,have,s
courage,courage,,topic_33,0,freq2,0,ig5,0,sal2,0
;,;,n
But,but,s
',',
tis,tis,s,topic_25,0,freq1,0,ig5,0,sal3,0
not,not,s
so,so,
.,.,n
Prepare,prepare,s,topic_36,0,freq3,0,ig5,0,sal3,0
you,you,
",",",",s
generals,generals,,topic_33,0,freq5,0,ig4,0,sal4,0
:,:,n
The,the,s
enemy,enemy,s,topic_33,0,freq3,0,ig5,0,sal4,0
comes,comes,s
on,on,s
in,in,s
gallant,gallant,s,topic_6,0,freq2,0,ig5,0,sal3,0
show,show,,topic_35,0,freq1,0,ig5,0,sal2,0
;,;,n
Their,their,s
bloody,bloody,s,topic_21,0,freq2,0,ig5,0,sal2,0
sign,sign,s,topic_46,0,freq4,0,ig5,0,sal4,0
of,of,s
battle,battle,s,topic_33,0,freq1,0,ig1,0,sal1,0
is,is,s
hung,hung,s,topic_1,0,freq5,0,ig5,0,sal5,0
out,out,
",",",",n
And,and,s
something,something,s
to,to,s
be,be,s
done,done,s
immediately,immediately,,topic_36,0,freq4,0,ig5,0,sal5,0
.,.,n
Octavius,octavius,
",",",",s
lead,lead,s,topic_36,0,freq1,0,ig4,0,sal1,0
your,your,s
battle,battle,s,topic_33,0,freq1,0,ig1,0,sal1,0
softly,softly,s,topic_30,0,freq4,0,ig5,0,sal4,0
on,on,
",",",",n
Upon,upon,s
the,the,s
left,left,s,topic_33,0,freq3,0,ig5,0,sal5,0
hand,hand,s,topic_21,0,freq1,0,ig5,0,sal3,0
of,of,s
the,the,s
even,even,s
field,field,,topic_33,0,freq1,0,ig5,0,sal2,0
.,.,n
Upon,upon,s
the,the,s
right,right,s
hand,hand,s,topic_34,0,freq1,0,ig5,0,sal3,0
I,i,
;,;,s
keep,keep,s
thou,thou,s
the,the,s
left,left,,topic_33,0,freq3,0,ig5,0,sal5,0
.,.,n
Why,why,s
do,do,s
you,you,s
cross,cross,s,topic_36,0,freq3,0,ig5,0,sal4,0
me,me,s
in,in,s
this,this,s
exigent,exigent,,topic_15,0,freq5,0,ig5,0,sal5,0
?,?,n
I,i,s
do,do,s
not,not,s
cross,cross,s,topic_36,0,freq3,0,ig5,0,sal4,0
you,you,
;,;,s
but,but,s
I,i,s
will,will,s
do,do,s
so,so,
.,.,n
They,they,s
stand,stand,,topic_36,0,freq1,0,ig5,0,sal1,0
",",",",s
and,and,s
would,would,s
have,have,s
parley,parley,,topic_38,0,freq3,0,ig1,0,sal2,0
.,.,n
Stand,stand,s,topic_36,0,freq1,0,ig5,0,sal1,0
fast,fast,,topic_36,0,freq2,0,ig5,0,sal2,0
",",",",s
Titinius,titinius,
:,:,s
we,we,s
must,must,s
out,out,s
and,and,s
talk,talk,,topic_19,0,freq3,0,ig5,0,sal5,0
.,.,n
Mark,mark,s,topic_17,0,freq2,0,ig5,0,sal3,0
Antony,antony,
",",",",s
shall,shall,s
we,we,s
give,give,s,topic_34,0,freq1,0,ig5,0,sal2,0
sign,sign,s,topic_19,0,freq4,0,ig5,0,sal5,0
of,of,s
battle,battle,,topic_33,0,freq1,0,ig1,0,sal1,0
?,?,n
No,no,
",",",",s
Caesar,caesar,
",",",",s
we,we,s
will,will,s
answer,answer,s,topic_34,0,freq2,0,ig5,0,sal2,0
on,on,s
their,their,s
charge,charge,,topic_33,0,freq3,0,ig5,0,sal5,0
.,.,n
Make,make,s,topic_17,0,freq1,0,ig5,0,sal5,0
forth,forth,
;,;,s
the,the,s
generals,generals,s,topic_33,0,freq5,0,ig4,0,sal4,0
would,would,s
have,have,s
some,some,s
words,words,,topic_34,0,freq2,0,ig5,0,sal2,0
.,.,n
Stir,stir,s,topic_36,0,freq2,0,ig5,0,sal1,0
not,not,s
until,until,s
the,the,s
signal,signal,,topic_33,0,freq4,0,ig1,0,sal4,0
.,.,n
Words,words,s,topic_34,0,freq2,0,ig5,0,sal2,0
before,before,s
blows,blows,,topic_33,0,freq3,0,ig5,0,sal4,0
:,:,s
is,is,s
it,it,s
so,so,
",",",",s
countrymen,countrymen,
?,?,n
Not,not,s
that,that,s
we,we,s
love,love,s,topic_5,0,freq1,0,ig5,0,sal1,0
words,words,s,topic_27,0,freq1,0,ig5,0,sal2,0
better,better,
",",",",s
as,as,s
you,you,s
do,do,
.,.,n
Good,good,s,topic_23,0,freq1,0,ig5,0,sal3,0
words,words,s,topic_34,0,freq2,0,ig5,0,sal2,0
are,are,s
better,better,s
than,than,s
bad,bad,s,topic_18,0,freq3,0,ig5,0,sal5,0
strokes,strokes,,topic_17,0,freq4,0,ig5,0,sal4,0
",",",",s
Octavius,octavius,
.,.,n
In,in,s
your,your,s
bad,bad,s,topic_21,0,freq3,0,ig5,0,sal4,0
strokes,strokes,,topic_33,0,freq4,0,ig5,0,sal4,0
",",",",s
Brutus,brutus,
",",",",s
you,you,s
give,give,s,topic_34,0,freq1,0,ig5,0,sal2,0
good,good,s,topic_2,0,freq1,0,ig5,0,sal1,0
words,words,,topic_34,0,freq2,0,ig5,0,sal2,0
:,:,n
Witness,witness,s,topic_21,0,freq3,0,ig5,0,sal4,0
the,the,s
hole,hole,s,topic_32,0,freq3,0,ig5,0,sal3,0
you,you,s
made,made,s,topic_3,0,freq1,0,ig5,0,sal2,0
in,in,s
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
heart,heart,,topic_34,0,freq1,0,ig5,0,sal1,0
",",",",n
Crying,crying,s,topic_10,0,freq3,0,ig4,0,sal2,0
',',
Long,long,s,topic_24,0,freq2,0,ig5,0,sal3,0
live,live,,topic_21,0,freq2,0,ig5,0,sal4,0
!,!,s
hail,hail,,topic_3,0,freq2,0,ig1,0,sal1,0
",",",",s
Caesar,caesar,
!,!,
',',n
Antony,antony,
",",",",n
The,the,s
posture,posture,s,topic_17,0,freq5,0,ig1,0,sal4,0
of,of,s
your,your,s
blows,blows,s,topic_33,0,freq3,0,ig5,0,sal4,0
are,are,s
yet,yet,s
unknown,unknown,,topic_25,0,freq3,0,ig5,0,sal2,0
;,;,n
But,but,s
for,for,s
your,your,s
words,words,,topic_34,0,freq2,0,ig5,0,sal2,0
",",",",s
they,they,s
rob,rob,s,topic_21,0,freq4,0,ig5,0,sal4,0
the,the,s
Hybla,hybla,s,topic_28,0,freq5,0,ig1,0,sal5,0
bees,bees,,topic_10,0,freq4,0,ig4,0,sal4,0
",",",",n
And,and,s
leave,leave,s,topic_31,0,freq1,0,ig5,0,sal1,0
them,them,s
honeyless,honeyless,,topic_17,0,freq5,0,ig4,0,sal5,0
.,.,n
Not,not,s
stingless,stingless,s,topic_34,0,freq5,0,ig3,0,sal5,0
too,too,
.,.,n
O,o,
",",",",s
yes,yes,
",",",",s
and,and,s
soundless,soundless,s,topic_39,0,freq5,0,ig3,0,sal5,0
too,too,
;,;,n
For,for,s
you,you,s
have,have,s
stol'n,stol'n,s,topic_25,0,freq3,0,ig1,0,sal2,0
their,their,s
buzzing,buzzing,,topic_48,0,freq5,0,ig5,0,sal4,0
",",",",s
Antony,antony,
",",",",n
And,and,s
very,very,s
wisely,wisely,s,topic_2,0,freq3,0,ig5,0,sal2,0
threat,threat,s,topic_3,0,freq5,0,ig5,0,sal5,0
before,before,s
you,you,s
sting,sting,,topic_21,0,freq4,0,ig5,0,sal3,0
.,.,n
Villains,villains,,topic_40,0,freq3,0,ig5,0,sal3,0
",",",",s
you,you,s
did,did,s
not,not,s
so,so,
",",",",s
when,when,s
your,your,s
vile,vile,s,topic_38,0,freq2,0,ig5,0,sal3,0
daggers,daggers,n,topic_10,0,freq4,0,ig1,0,sal3,0
Hack'd,hack'd,s,topic_33,0,freq5,0,ig4,0,sal4,0
one,one,s
another,another,s
in,in,s
the,the,s
sides,sides,s,topic_17,0,freq5,0,ig5,0,sal5,0
of,of,s
Caesar,caesar,
:,:,n
You,you,s
show'd,show'd,s,topic_17,0,freq4,0,ig5,0,sal4,0
your,your,s
teeth,teeth,s,topic_33,0,freq4,0,ig5,0,sal5,0
like,like,s
apes,apes,,topic_10,0,freq4,0,ig5,0,sal5,0
",",",",s
and,and,s
fawn'd,fawn'd,s,topic_23,0,freq5,0,ig3,0,sal5,0
like,like,s
hounds,hounds,,topic_32,0,freq3,0,ig1,0,sal2,0
",",",",n
And,and,s
bow'd,bow'd,s,topic_12,0,freq4,0,ig5,0,sal5,0
like,like,s
bondmen,bondmen,,topic_36,0,freq5,0,ig1,0,sal4,0
",",",",s
kissing,kissing,s,topic_34,0,freq4,0,ig5,0,sal2,0
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
feet,feet,,topic_21,0,freq4,0,ig5,0,sal5,0
;,;,n
Whilst,whilst,s,topic_21,0,freq3,0,ig5,0,sal3,0
damned,damned,s,topic_21,0,freq3,0,ig5,0,sal3,0
Casca,casca,
",",",",s
like,like,s
a,a,s
cur,cur,,topic_40,0,freq3,0,ig1,0,sal2,0
",",",",s
behind,behind,n
Struck,struck,s,topic_21,0,freq4,0,ig5,0,sal4,0
Caesar,caesar,s
on,on,s
the,the,s
neck,neck,,topic_34,0,freq4,0,ig5,0,sal2,0
.,.,s
O,o,s
you,you,s
flatterers,flatterers,,topic_10,0,freq5,0,ig5,0,sal5,0
!,!,n
Flatterers,flatterers,,topic_17,0,freq5,0,ig5,0,sal5,0
!,!,s
Now,now,
",",",",s
Brutus,brutus,
",",",",s
thank,thank,s
yourself,yourself,
:,:,n
This,this,s
tongue,tongue,s,topic_34,0,freq1,0,ig5,0,sal1,0
had,had,s
not,not,s
offended,offended,s,topic_27,0,freq3,0,ig4,0,sal2,0
so,so,s
to-day,to-day,,topic_33,0,freq2,0,ig5,0,sal3,0
",",",",n
If,if,s
Cassius,cassius,s
might,might,s
have,have,s
ruled,ruled,,topic_42,0,freq3,0,ig5,0,sal4,0
.,.,n
Come,come,
",",",",s
come,come,
",",",",s
the,the,s
cause,cause,
:,:,s
if,if,s
arguing,arguing,s,topic_24,0,freq5,0,ig5,0,sal5,0
make,make,s,topic_22,0,freq2,0,ig5,0,sal5,0
us,us,s
sweat,sweat,,topic_36,0,freq4,0,ig5,0,sal5,0
",",",",n
The,the,s
proof,proof,s,topic_16,0,freq4,0,ig5,0,sal5,0
of,of,s
it,it,s
will,will,s
turn,turn,s,topic_34,0,freq2,0,ig5,0,sal1,0
to,to,s
redder,redder,s,topic_27,0,freq5,0,ig3,0,sal5,0
drops,drops,,topic_33,0,freq4,0,ig5,0,sal5,0
.,.,s
Look,look,
;,;,n
I,i,s
draw,draw,s,topic_33,0,freq2,0,ig5,0,sal4,0
a,a,s
sword,sword,s,topic_33,0,freq1,0,ig5,0,sal1,0
against,against,s
conspirators,conspirators,
;,;,n
When,when,s
think,think,s
you,you,s
that,that,s
the,the,s
sword,sword,s,topic_33,0,freq1,0,ig5,0,sal1,0
goes,goes,s
up,up,s
again,again,
?,?,n
Never,never,
",",",",s
till,till,s,topic_36,0,freq1,0,ig5,0,sal1,0
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
three,three,s
and,and,s
thirty,thirty,s,topic_37,0,freq3,0,ig1,0,sal2,0
wounds,wounds,n,topic_33,0,freq3,0,ig5,0,sal4,0
Be,be,s
well,well,s
avenged,avenged,,topic_21,0,freq5,0,ig1,0,sal4,0
;,;,s
or,or,s
till,till,s,topic_36,0,freq1,0,ig5,0,sal1,0
another,another,s
Caesar,caesar,n
Have,have,s
added,added,s,topic_27,0,freq4,0,ig5,0,sal4,0
slaughter,slaughter,s,topic_21,0,freq4,0,ig5,0,sal4,0
to,to,s
the,the,s
sword,sword,s,topic_33,0,freq1,0,ig5,0,sal1,0
of,of,s
traitors,traitors,,topic_21,0,freq3,0,ig5,0,sal3,0
.,.,n
Caesar,caesar,
",",",",s
thou,thou,s
canst,canst,s,topic_28,0,freq3,0,ig5,0,sal3,0
not,not,s
die,die,s,topic_21,0,freq1,0,ig5,0,sal1,0
by,by,s
traitors,traitors,,topic_21,0,freq3,0,ig5,0,sal3,0
',',s
hands,hands,,topic_15,0,freq4,0,ig5,0,sal5,0
",",",",n
Unless,unless,s
thou,thou,s
bring'st,bring'st,s,topic_40,0,freq5,0,ig1,0,sal4,0
them,them,s
with,with,s
thee,thee,
.,.,n
So,so,s
I,i,s
hope,hope,,topic_26,0,freq2,0,ig5,0,sal4,0
;,;,n
I,i,s
was,was,s
not,not,s
born,born,s,topic_35,0,freq4,0,ig5,0,sal5,0
to,to,s
die,die,s,topic_21,0,freq1,0,ig5,0,sal1,0
on,on,s
Brutus,brutus,
',',s
sword,sword,,topic_33,0,freq1,0,ig5,0,sal1,0
.,.,n
O,o,
",",",",s
if,if,s
thou,thou,s
wert,wert,s,topic_28,0,freq3,0,ig5,0,sal3,0
the,the,s
noblest,noblest,s,topic_4,0,freq5,0,ig5,0,sal5,0
of,of,s
thy,thy,s
strain,strain,,topic_28,0,freq4,0,ig5,0,sal4,0
",",",",n
Young,young,s,topic_48,0,freq2,0,ig5,0,sal3,0
man,man,
",",",",s
thou,thou,s
couldst,couldst,s,topic_28,0,freq4,0,ig5,0,sal4,0
not,not,s
die,die,s,topic_33,0,freq2,0,ig5,0,sal5,0
more,more,s
honourable,honourable,,topic_17,0,freq2,0,ig5,0,sal2,0
.,.,n
A,a,s
peevish,peevish,s,topic_16,0,freq3,0,ig1,0,sal2,0
schoolboy,schoolboy,,topic_34,0,freq5,0,ig2,0,sal4,0
",",",",s
worthless,worthless,s,topic_4,0,freq3,0,ig1,0,sal2,0
of,of,s
such,such,s
honour,honour,,topic_45,0,freq1,0,ig5,0,sal1,0
",",",",n
Join'd,join'd,s,topic_19,0,freq3,0,ig5,0,sal3,0
with,with,s
a,a,s
masker,masker,s,topic_3,0,freq5,0,ig3,0,sal5,0
and,and,s
a,a,s
reveller,reveller,,topic_36,0,freq5,0,ig5,0,sal5,0
!,!,n
Old,old,s
Cassius,cassius,s
still,still,
!,!,n
Come,come,
",",",",s
Antony,antony,
",",",",s
away,away,
!,!,n
Defiance,defiance,,topic_33,0,freq4,0,ig4,0,sal4,0
",",",",s
traitors,traitors,,topic_21,0,freq3,0,ig5,0,sal3,0
",",",",s
hurl,hurl,s,topic_21,0,freq5,0,ig1,0,sal4,0
we,we,s
in,in,s
your,your,s
teeth,teeth,,topic_37,0,freq5,0,ig5,0,sal5,0
:,:,n
If,if,s
you,you,s
dare,dare,s,topic_34,0,freq4,0,ig5,0,sal5,0
fight,fight,s,topic_33,0,freq1,0,ig4,0,sal1,0
to-day,to-day,,topic_33,0,freq2,0,ig5,0,sal3,0
",",",",s
come,come,s
to,to,s
the,the,s
field,field,,topic_33,0,freq1,0,ig5,0,sal2,0
;,;,n
If,if,s
not,not,
",",",",s
when,when,s
you,you,s
have,have,s
stomachs,stomachs,,topic_25,0,freq5,0,ig5,0,sal5,0
.,.,n
Why,why,
",",",",s
now,now,
",",",",s
blow,blow,s,topic_30,0,freq1,0,ig5,0,sal1,0
wind,wind,,topic_30,0,freq1,0,ig5,0,sal2,0
",",",",s
swell,swell,s,topic_10,0,freq4,0,ig5,0,sal5,0
billow,billow,s,topic_17,0,freq5,0,ig2,0,sal5,0
and,and,s
swim,swim,s,topic_12,0,freq4,0,ig5,0,sal3,0
bark,bark,,topic_30,0,freq2,0,ig4,0,sal1,0
!,!,n
The,the,s
storm,storm,s,topic_30,0,freq2,0,ig5,0,sal2,0
is,is,s
up,up,
",",",",s
and,and,s
all,all,s
is,is,s
on,on,s
the,the,s
hazard,hazard,,topic_33,0,freq4,0,ig5,0,sal5,0
.,.,n
Ho,ho,,topic_23,0,freq2,0,ig5,0,sal3,0
",",",",s
Lucilius,lucilius,
!,!,s
hark,hark,,topic_10,0,freq2,0,ig5,0,sal3,0
",",",",s
a,a,s
word,word,s,topic_34,0,freq2,0,ig5,0,sal2,0
with,with,s
you,you,
.,.,n
My,my,s
lord,lord,
?,?,n
Messala,messala,,topic_23,0,freq4,0,ig1,0,sal3,0
!,!,n
What,what,s
says,says,s
my,my,s
general,general,
?,?,n
Messala,messala,,topic_23,0,freq4,0,ig1,0,sal3,0
",",",",n
This,this,s
is,is,s
my,my,s
birth-day,birth-day,,topic_30,0,freq5,0,ig2,0,sal5,0
;,;,s
as,as,s
this,this,s
very,very,s
day,day,n,topic_23,0,freq1,0,ig5,0,sal3,0
Was,was,s
